Region ID,Region name,objects_total,n_animals,relative_abundance_z,rel_abundance_method,reference_mean,reference_std
179,"Anterior cingulate area, layer 6a",0,6,-0.10275153668651466,reference,2.4110105580693815,23.46447202463891
180,"Gustatory areas, layer 2/3",0,6,-0.10275153668651466,reference,2.4110105580693815,23.46447202463891
181,Nucleus of reuniens,0,6,-0.10275153668651466,reference,2.4110105580693815,23.46447202463891
182,propriohypothalamic pathways,0,6,-0.10275153668651466,reference,2.4110105580693815,23.46447202463891
183,"Anterior olfactory nucleus, lateral part",0,6,-0.10275153668651466,reference,2.4110105580693815,23.46447202463891
184,"Frontal pole, cerebral cortex",0,6,-0.10275153668651466,reference,2.4110105580693815,23.46447202463891
185,"Parapyramidal nucleus, deep part",0,6,-0.10275153668651466,reference,2.4110105580693815,23.46447202463891
186,Lateral habenula,0,6,-0.10275153668651466,reference,2.4110105580693815,23.46447202463891
187,"Gustatory areas, layer 5",0,6,-0.10275153668651466,reference,2.4110105580693815,23.46447202463891
188,"Accessory olfactory bulb, glomerular layer",0,6,-0.10275153668651466,reference,2.4110105580693815,23.46447202463891
189,Rhomboid nucleus,0,6,-0.10275153668651466,reference,2.4110105580693815,23.46447202463891
190,pyramid,0,6,-0.10275153668651466,reference,2.4110105580693815,23.46447202463891
191,"Anterior olfactory nucleus, medial part",0,6,-0.10275153668651466,reference,2.4110105580693815,23.46447202463891
192,"Cortical amygdalar area, anterior part, layer 1",0,6,-0.10275153668651466,reference,2.4110105580693815,23.46447202463891
193,"Parapyramidal nucleus, superficial part",0,6,-0.10275153668651466,reference,2.4110105580693815,23.46447202463891
194,Lateral hypothalamic area,0,6,-0.10275153668651466,reference,2.4110105580693815,23.46447202463891
195,"Prelimbic area, layer 2",0,6,-0.10275153668651466,reference,2.4110105580693815,23.46447202463891
196,"Accessory olfactory bulb, granular layer",0,6,-0.10275153668651466,reference,2.4110105580693815,23.46447202463891
197,Rostral linear nucleus raphe,0,6,-0.10275153668651466,reference,2.4110105580693815,23.46447202463891
198,pyramidal decussation,0,6,-0.10275153668651466,reference,2.4110105580693815,23.46447202463891
199,"Anterior olfactory nucleus, posteroventral part",0,6,-0.10275153668651466,reference,2.4110105580693815,23.46447202463891
200,"Cortical amygdalar area, anterior part, layer 2",0,6,-0.10275153668651466,reference,2.4110105580693815,23.46447202463891
201,"Primary somatosensory area, barrel field, layer 2/3",0,6,-0.10275153668651466,reference,2.4110105580693815,23.46447202463891
202,Medial vestibular nucleus,0,6,-0.10275153668651466,reference,2.4110105580693815,23.46447202463891
